epoch,loss,accuracy,f1
1,0.474190,0.782328,0.779636
2,0.243681,0.946121,0.944974
3,0.209490,0.956897,0.956076
4,0.187280,0.976293,0.976070
5,0.171047,0.991379,0.991379
6,0.170286,0.985632,0.985632
7,0.171176,0.980603,0.980645
8,0.161482,0.989224,0.989185
9,0.151301,0.994971,0.994975
10,0.150331,0.995690,0.995696
11,0.149215,0.995690,0.995683
12,0.156047,0.990661,0.990708
13,0.155559,0.989943,0.989971
14,0.145638,0.995690,0.995683
15,0.144521,0.994253,0.994253
16,0.142918,0.994971,0.994982
17,0.145316,0.996408,0.996426
18,0.148872,0.994971,0.994982
19,0.143839,0.995690,0.995683
20,0.144120,0.994971,0.994975
