epoch,loss,accuracy,f1
1,0.424684,0.834770,0.832117
2,0.266246,0.936782,0.935860
3,0.241021,0.948276,0.947750
4,0.216718,0.959052,0.958545
5,0.211033,0.961925,0.961898
6,0.202421,0.964080,0.964337
7,0.207438,0.966954,0.967096
8,0.200087,0.964799,0.964518
9,0.182431,0.980603,0.980645
10,0.196159,0.974138,0.974175
11,0.178331,0.978448,0.978355
12,0.183068,0.979167,0.979241
13,0.192589,0.972701,0.972740
