epoch,loss,accuracy,f1
1,0.550357,0.724138,0.724534
2,0.282774,0.929598,0.927083
3,0.223472,0.955460,0.954678
4,0.181303,0.975575,0.975469
5,0.171593,0.982040,0.982001
6,0.165360,0.989224,0.989170
7,0.174173,0.983477,0.983513
8,0.160981,0.989224,0.989247
9,0.149774,0.994971,0.994975
10,0.154282,0.992098,0.992115
11,0.143368,0.998563,0.998565
12,0.152970,0.992816,0.992847
13,0.160640,0.987787,0.987814
14,0.147637,0.994971,0.994989
15,0.144739,0.996408,0.996416
16,0.143880,0.995690,0.995708
17,0.147058,0.996408,0.996426
18,0.149005,0.992816,0.992847
19,0.145573,0.995690,0.995690
20,0.143076,0.994971,0.994968
21,0.145392,0.994971,0.994989
22,0.148029,0.991379,0.991465
23,0.141693,0.996408,0.996405
24,0.137415,0.994971,0.994975
25,0.143492,0.997845,0.997853
26,0.147926,0.992098,0.992148
27,0.144998,0.994253,0.994269
