epoch,loss,accuracy,f1
1,0.472253,0.790230,0.789322
2,0.226104,0.957615,0.956777
3,0.185024,0.976293,0.976070
4,0.163740,0.987787,0.987761
5,0.156163,0.989224,0.989185
6,0.151729,0.992098,0.992092
7,0.157152,0.990661,0.990641
8,0.146281,0.995690,0.995702
9,0.140100,0.997126,0.997126
10,0.141575,0.995690,0.995696
11,0.135313,0.998563,0.998563
12,0.143873,0.994971,0.994996
13,0.140888,0.995690,0.995714
14,0.134515,1.000000,1.000000
15,0.134257,0.997845,0.997849
16,0.133182,0.998563,0.998567
17,0.134119,0.998563,0.998567
