epoch,loss,accuracy,f1
1,0.555852,0.710489,0.715997
2,0.254151,0.945402,0.943787
3,0.191878,0.972701,0.972543
4,0.166134,0.985632,0.985591
5,0.158107,0.989943,0.989943
6,0.157337,0.989943,0.989928
7,0.161595,0.987787,0.987848
8,0.148268,0.994253,0.994253
9,0.142921,0.996408,0.996411
10,0.146209,0.994971,0.994982
11,0.137014,0.999282,0.999282
12,0.145892,0.994253,0.994278
13,0.149272,0.993534,0.993558
14,0.137814,0.999282,0.999282
15,0.137077,0.998563,0.998565
16,0.136175,0.999282,0.999285
17,0.139502,0.995690,0.995696
18,0.142315,0.992098,0.992160
19,0.137097,0.997126,0.997122
20,0.137178,0.997126,0.997131
