epoch,loss,accuracy,f1
1,0.536325,0.736729,0.744070
2,0.261721,0.934932,0.934764
3,0.206383,0.963613,0.963998
4,0.187488,0.976884,0.977387
5,0.174446,0.980736,0.981211
6,0.165074,0.985873,0.986198
7,0.166293,0.985017,0.985374
8,0.162915,0.986729,0.987142
9,0.154134,0.993579,0.993758
10,0.151949,0.988014,0.988411
11,0.149066,0.992295,0.992475
12,0.156278,0.989726,0.989983
13,0.138041,0.997003,0.997080
14,0.153305,0.989726,0.990017
15,0.148118,0.994007,0.994152
16,0.145025,0.993151,0.993328
17,0.141451,0.994435,0.994595
18,0.141061,0.994863,0.995008
19,0.140756,0.994863,0.994996
20,0.138498,0.997003,0.997080
21,0.134376,0.998288,0.998331
22,0.139247,0.994007,0.994137
23,0.139477,0.995719,0.995830
24,0.136830,0.998716,0.998748
