epoch,loss,accuracy,f1
1,0.657423,0.614224,0.620495
2,0.559630,0.727011,0.733520
3,0.509051,0.780891,0.780418
4,0.467519,0.807471,0.803231
5,0.434614,0.829741,0.827887
6,0.433038,0.830460,0.829971
7,0.427249,0.820402,0.817784
8,0.418252,0.831178,0.826312
9,0.386741,0.855603,0.854874
10,0.382964,0.860632,0.860029
11,0.388126,0.854167,0.853218
12,0.381338,0.855603,0.855083
13,0.376536,0.858477,0.856935
14,0.378242,0.853448,0.852388
15,0.382002,0.844828,0.842795
16,0.369244,0.856322,0.856115
17,0.375140,0.856322,0.855700
18,0.379710,0.871408,0.871868
19,0.359499,0.864224,0.865480
20,0.358848,0.866379,0.863034
21,0.353103,0.867816,0.865889
22,0.362135,0.872126,0.873580
23,0.351462,0.883621,0.881406
24,0.364052,0.871408,0.870007
