epoch,loss,accuracy,f1
1,0.532974,0.735632,0.734488
2,0.195133,0.974856,0.974434
3,0.157489,0.989943,0.989928
4,0.143116,0.997126,0.997114
5,0.140735,0.997845,0.997849
6,0.138735,0.997845,0.997840
7,0.142939,0.997845,0.997843
8,0.134331,0.998563,0.998567
9,0.130564,1.000000,1.000000
10,0.132488,1.000000,1.000000
11,0.129145,1.000000,1.000000
12,0.132885,0.998563,0.998565
13,0.134772,0.997845,0.997856
14,0.129812,1.000000,1.000000
15,0.129151,1.000000,1.000000
16,0.129453,0.999282,0.999284
17,0.129557,1.000000,1.000000
18,0.130710,1.000000,1.000000
19,0.129564,0.999282,0.999282
20,0.127603,1.000000,1.000000
