epoch,loss,accuracy,f1
1,0.526034,0.758990,0.762748
2,0.382786,0.851884,0.850604
3,0.352539,0.875000,0.875427
4,0.336211,0.891267,0.891915
5,0.311579,0.898116,0.899067
6,0.313214,0.895548,0.897306
7,0.303360,0.903253,0.903993
8,0.304253,0.900257,0.901812
9,0.283568,0.917380,0.918600
10,0.285055,0.915240,0.918046
11,0.274935,0.924658,0.925988
12,0.293526,0.909675,0.910631
13,0.257188,0.934075,0.934856
14,0.287945,0.912671,0.914644
15,0.271186,0.928938,0.929839
16,0.269670,0.925942,0.927947
17,0.272909,0.925086,0.926625
